Disease,Symptoms,Description,Precautions,symptom_list,combined
(vertigo) Paroymsal Positional Vertigo,,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Consult a healthcare professional for accurate precautions.,[],(vertigo) paroymsal positional vertigo benign paroxysmal positional vertigo (bppv) is one of the most common causes of vertigo the sudden sensation that you re spinning or that the inside of your head is spinning. benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness. consult a healthcare professional for accurate precautions.
AIDS,,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","HIV/AIDS is a terminal illness, as there is currently no cure, nor an effective HIV vaccine. Treatment consists of highly active antiretroviral therapy (ART), which slows progression of the disease. As of 2022, 39 million people globally were living with HIV, and 29.8 million people were accessing ART. Treatment also includes preventive and active treatment of opportunistic infections. As of July 2022, four people have been successfully cleared of HIV. Rapid initiation of antiretroviral therapy within one week of diagnosis appear to improve treatment outcomes in low and medium-income settings and is recommend for newly diagnosed HIV patients. HIV retinopathy was a very common cause of blindness in people with AIDS before the introduction of highly active antiretroviral therapy, but its incidence is declining due to proper and timely management of AIDS. Even if there are signs of retinopathy, it may reverse as CD4+ T cell counts increase. Reversal of HIV retinopathy is a helpful sign of positive response to antiretroviral therapy in AIDS patients. But if HIV treatment is delayed it may lead to permanent visual loss. Occurrence of HIV retinopathy may also be an indicator of therapeutic failure in AIDS patients undergoing treatment.",[],"aids acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body s ability to fight infection and disease. hiv/aids is a terminal illness, as there is currently no cure, nor an effective hiv vaccine. treatment consists of highly active antiretroviral therapy (art), which slows progression of the disease. as of 2022, 39 million people globally were living with hiv, and 29.8 million people were accessing art. treatment also includes preventive and active treatment of opportunistic infections. as of july 2022, four people have been successfully cleared of hiv. rapid initiation of antiretroviral therapy within one week of diagnosis appear to improve treatment outcomes in low and medium-income settings and is recommend for newly diagnosed hiv patients. hiv retinopathy was a very common cause of blindness in people with aids before the introduction of highly active antiretroviral therapy, but its incidence is declining due to proper and timely management of aids. even if there are signs of retinopathy, it may reverse as cd4 t cell counts increase. reversal of hiv retinopathy is a helpful sign of positive response to antiretroviral therapy in aids patients. but if hiv treatment is delayed it may lead to permanent visual loss. occurrence of hiv retinopathy may also be an indicator of therapeutic failure in aids patients undergoing treatment."
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","A hernia (pl.: hernias or herniae, from Latin, meaning 'rupture') is the abnormal exit of tissue or an organ, such as the bowel, through the wall of the cavity in which it normally resides. The term is also used for the normal development of the intestinal tract, referring to the retraction of the intestine from the extra-embryonal navel coelom into the abdomen in the healthy embryo at about 71⁄2 weeks. Various types of hernias can occur, most commonly involving the abdomen, and specifically the groin.",Consult a healthcare professional for accurate precautions.,"['visible bulge or swelling', 'discomfort or pain']","abdominal hernia visible bulge or swelling, discomfort or pain a hernia (pl. hernias or herniae, from latin, meaning rupture ) is the abnormal exit of tissue or an organ, such as the bowel, through the wall of the cavity in which it normally resides. the term is also used for the normal development of the intestinal tract, referring to the retraction of the intestine from the extra-embryonal navel coelom into the abdomen in the healthy embryo at about 71 2 weeks. various types of hernias can occur, most commonly involving the abdomen, and specifically the groin. consult a healthcare professional for accurate precautions."
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Abdominal trauma is an injury to the abdomen. Signs and symptoms include abdominal pain, tenderness, rigidity, and bruising of the external abdomen. Complications may include blood loss and infection.",Consult a healthcare professional for accurate precautions.,"['abdominal pain', 'tenderness', 'bruising', 'swelling', 'difficulty breathing', 'nausea', 'vomiting', 'changes in bowel movements', 'blood in urine or stool']","abdominal injury abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool abdominal trauma is an injury to the abdomen. signs and symptoms include abdominal pain, tenderness, rigidity, and bruising of the external abdomen. complications may include blood loss and infection. consult a healthcare professional for accurate precautions."
Abscess,"Swelling, pain, redness, fever, pus formation","An abscess is a collection of pus that has built up within the tissue of the body, usually caused by bacterial infection. Signs and symptoms of abscesses include redness, pain, warmth, and swelling. The swelling may feel fluid-filled when pressed.",The standard treatment for an uncomplicated skin or soft tissue abscess is the act of opening and draining. There does not appear to be any benefit from also using antibiotics in most cases. A small amount of evidence did not find a benefit from packing the abscess with gauze.,"['swelling', 'pain', 'redness', 'fever', 'pus formation']","abscess swelling, pain, redness, fever, pus formation an abscess is a collection of pus that has built up within the tissue of the body, usually caused by bacterial infection. signs and symptoms of abscesses include redness, pain, warmth, and swelling. the swelling may feel fluid-filled when pressed. the standard treatment for an uncomplicated skin or soft tissue abscess is the act of opening and draining. there does not appear to be any benefit from also using antibiotics in most cases. a small amount of evidence did not find a benefit from packing the abscess with gauze."
Abscess of Nose,"Pain, swelling, redness, discharge from the nose",,Consult a healthcare professional for accurate precautions.,"['pain', 'swelling', 'redness', 'discharge from the nose']","abscess of nose pain, swelling, redness, discharge from the nose consult a healthcare professional for accurate precautions."
Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Lung abscess is a type of liquefactive necrosis of the lung tissue and formation of cavities (more than 2 cm) containing necrotic debris or fluid caused by microbial infection. This pus-filled cavity is often caused by aspiration, which may occur during anesthesia, sedation, or unconsciousness from injury. Alcoholism is the most common condition predisposing to lung abscesses.",Consult a healthcare professional for accurate precautions.,"['cough with phlegm or pus', 'chest pain', 'fever', 'shortness of breath', 'fatigue']","abscess of the lung cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue lung abscess is a type of liquefactive necrosis of the lung tissue and formation of cavities (more than 2 cm) containing necrotic debris or fluid caused by microbial infection. this pus-filled cavity is often caused by aspiration, which may occur during anesthesia, sedation, or unconsciousness from injury. alcoholism is the most common condition predisposing to lung abscesses. consult a healthcare professional for accurate precautions."
Abses Gigi,"Severe toothache, swelling of the gums, fever","Severe toothache, swelling of the gums, fever. Bacterial infection of the tooth root or gums.",Consult a healthcare professional for accurate precautions.,"['severe toothache', 'swelling of the gums', 'fever']","abses gigi severe toothache, swelling of the gums, fever severe toothache, swelling of the gums, fever. bacterial infection of the tooth root or gums. consult a healthcare professional for accurate precautions."
Achalasia,Difficulty swallowing,"Esophageal achalasia, often referred to simply as achalasia, is a failure of smooth muscle fibers to relax, which can cause the lower esophageal sphincter to remain closed. Without a modifier, ""achalasia"" usually refers to achalasia of the esophagus. Achalasia can happen at various points along the gastrointestinal tract; achalasia of the rectum, for instance, may occur in Hirschsprung's disease.","Sublingual nifedipine significantly improves outcomes in 75% of people with mild or moderate disease. It was classically considered that surgical myotomy provided greater benefit than either botulinum toxin or dilation in those who fail medical management. However, a recent randomized controlled trial found pneumatic dilation to be non-inferior to laparoscopic Heller myotomy. In 1674 ""Pharmaceutice rationalis (p. 45)"". Internet Archive. Retrieved 10 October 2025., the English physician Sir Thomas Willis, one of the founders of the Royal Society first described the condition now known as achalasia and treated the problem with a dilation using a sea sponge attached to a whale bone. In 1881, the German Polish-Austrian physician Johann Freiherr von Mikulicz-Radecki described the disease as cardiospasm, and felt it was a functional problem rather than a mechanical one. In 1913, Ernest Heller became the first person to successfully perform an esophagomyotomy, now known in his namesake as the Heller myotomy. In 1929, two physicians – Hurst and Rake – figured out that the problem was due to the LES not relaxing. They named the disease achalasia, meaning inability to relax. In 1937, the physician F.C. Lendram affirmed the conclusions of Hurst and Rake in 1929, forwarding the usage of the term achalasia over cardiospasm. In 1955, the German physician Rudolph Nissen, a student of Ferdinand Sauerbruch, performed the first fundoplomy, now known in his namesake as the Nissen fundoplication, eventually publishing the results of two cases in a 1956 copy of Swiss Medical Weekly. In 1962, the physician Dor reported the first anterior partial fundoplication, acting as a solution to the intense post-surgery GERD and risk of stomach acid inhalation accompanying Heller myotomy. In 1963, the physician Toupet reported the first posterior partial fundoplication. In 1991, the physician Shimi and his colleagues performed the first laparoscopic Heller myotomy in England. In 1994, Paricha et al. introduced botox as a method for reducing LES pressure. In 2008, the newest method of surgically treating achalasia, the per-oral endoscopic myotomy, was devised by H. Inoue in Tokyo, Japan. This method is currently considered experimental in many countries such as the United States.",['difficulty swallowing'],"achalasia difficulty swallowing esophageal achalasia, often referred to simply as achalasia, is a failure of smooth muscle fibers to relax, which can cause the lower esophageal sphincter to remain closed. without a modifier, achalasia usually refers to achalasia of the esophagus. achalasia can happen at various points along the gastrointestinal tract achalasia of the rectum, for instance, may occur in hirschsprung s disease. sublingual nifedipine significantly improves outcomes in 75 of people with mild or moderate disease. it was classically considered that surgical myotomy provided greater benefit than either botulinum toxin or dilation in those who fail medical management. however, a recent randomized controlled trial found pneumatic dilation to be non-inferior to laparoscopic heller myotomy. in 1674 pharmaceutice rationalis (p. 45) . internet archive. retrieved 10 october 2025., the english physician sir thomas willis, one of the founders of the royal society first described the condition now known as achalasia and treated the problem with a dilation using a sea sponge attached to a whale bone. in 1881, the german polish-austrian physician johann freiherr von mikulicz-radecki described the disease as cardiospasm, and felt it was a functional problem rather than a mechanical one. in 1913, ernest heller became the first person to successfully perform an esophagomyotomy, now known in his namesake as the heller myotomy. in 1929, two physicians hurst and rake figured out that the problem was due to the les not relaxing. they named the disease achalasia, meaning inability to relax. in 1937, the physician f.c. lendram affirmed the conclusions of hurst and rake in 1929, forwarding the usage of the term achalasia over cardiospasm. in 1955, the german physician rudolph nissen, a student of ferdinand sauerbruch, performed the first fundoplomy, now known in his namesake as the nissen fundoplication, eventually publishing the results of two cases in a 1956 copy of swiss medical weekly. in 1962, the physician dor reported the first anterior partial fundoplication, acting as a solution to the intense post-surgery gerd and risk of stomach acid inhalation accompanying heller myotomy. in 1963, the physician toupet reported the first posterior partial fundoplication. in 1991, the physician shimi and his colleagues performed the first laparoscopic heller myotomy in england. in 1994, paricha et al. introduced botox as a method for reducing les pressure. in 2008, the newest method of surgically treating achalasia, the per-oral endoscopic myotomy, was devised by h. inoue in tokyo, japan. this method is currently considered experimental in many countries such as the united states."
Acinic cell carcinoma,"Lump, swelling, Facial changes","Small-cell carcinoma, also known as oat cell carcinoma, is a type of highly malignant cancer that most commonly arises within the lung, although it can occasionally arise in other body sites, such as the cervix, prostate, and gastrointestinal tract. Compared to non-small cell carcinoma, small cell carcinoma is more aggressive, with a shorter doubling time, higher growth fraction, and earlier development of metastases. Small-cell carcinoma is a neuroendocrine tumor, meaning that the cells were originally part of the neuroendocrine system.","Surgical resection is the mainstay of treatment, whenever possible. Complete surgical excision with adequate margins is essential for optimal outcomes. If tumor is completely removed, post-operative radiation therapy is typically not needed since acinic cell carcinoma is considered a low-grade histology. However, modern evidence indicates post-operative radiation therapy significantly improves outcomes for acinic cell carcinoma when certain high-risk features are present: Positive or close margins (<5 mm) Incomplete resection or gross residual disease Tumor invades beyond gland (extraparenchymal extension) Positive lymph nodes (nodal metastases) Perineural invasion, particularly of major nerves Lymphovascular invasion High-grade histology or dedifferentiated/high-grade transformation (increased risk of recurrence by 5-8 fold) Recurrent disease Large tumor size (typically >4 cm) Deep lobe involvement in parotid tumors Modern radiation therapy modalities have improved efficacy and reduced side effects compared to historical approaches: Intensity-modulated radiation therapy (IMRT): Delivers precise radiation doses to tumor areas while minimizing exposure to surrounding tissues Neutron beam radiation: More effective than conventional photon therapy for certain salivary gland tumors but available at only a few specialized centers Proton therapy: Offers potentially superior dose distribution compared to photon-based treatments Carbon ion therapy: Emerging evidence suggests efficacy for radioresistant salivary gland tumors Chemotherapy has limited efficacy and is generally reserved for recurrent or metastatic disease not amenable to further surgical resection or radiation therapy. Commonly used agents include platinum-based combinations and taxanes. Emerging therapeutic approaches based on molecular understanding: Targeted therapy: Recent molecular characterization has identified the NR4A3 transcription factor as consistently overexpressed in acinic cell carcinoma, potentially representing a future therapeutic target Immunotherapy: Checkpoint inhibitors are being investigated in clinical trials for salivary gland malignancies, with preliminary evidence suggesting potential activity in tumors with high mutational burden","['lump', 'swelling', 'facial changes']","acinic cell carcinoma lump, swelling, facial changes small-cell carcinoma, also known as oat cell carcinoma, is a type of highly malignant cancer that most commonly arises within the lung, although it can occasionally arise in other body sites, such as the cervix, prostate, and gastrointestinal tract. compared to non-small cell carcinoma, small cell carcinoma is more aggressive, with a shorter doubling time, higher growth fraction, and earlier development of metastases. small-cell carcinoma is a neuroendocrine tumor, meaning that the cells were originally part of the neuroendocrine system. surgical resection is the mainstay of treatment, whenever possible. complete surgical excision with adequate margins is essential for optimal outcomes. if tumor is completely removed, post-operative radiation therapy is typically not needed since acinic cell carcinoma is considered a low-grade histology. however, modern evidence indicates post-operative radiation therapy significantly improves outcomes for acinic cell carcinoma when certain high-risk features are present positive or close margins ( 5 mm) incomplete resection or gross residual disease tumor invades beyond gland (extraparenchymal extension) positive lymph nodes (nodal metastases) perineural invasion, particularly of major nerves lymphovascular invasion high-grade histology or dedifferentiated/high-grade transformation (increased risk of recurrence by 5-8 fold) recurrent disease large tumor size (typically 4 cm) deep lobe involvement in parotid tumors modern radiation therapy modalities have improved efficacy and reduced side effects compared to historical approaches intensity-modulated radiation therapy (imrt) delivers precise radiation doses to tumor areas while minimizing exposure to surrounding tissues neutron beam radiation more effective than conventional photon therapy for certain salivary gland tumors but available at only a few specialized centers proton therapy offers potentially superior dose distribution compared to photon-based treatments carbon ion therapy emerging evidence suggests efficacy for radioresistant salivary gland tumors chemotherapy has limited efficacy and is generally reserved for recurrent or metastatic disease not amenable to further surgical resection or radiation therapy. commonly used agents include platinum-based combinations and taxanes. emerging therapeutic approaches based on molecular understanding targeted therapy recent molecular characterization has identified the nr4a3 transcription factor as consistently overexpressed in acinic cell carcinoma, potentially representing a future therapeutic target immunotherapy checkpoint inhibitors are being investigated in clinical trials for salivary gland malignancies, with preliminary evidence suggesting potential activity in tumors with high mutational burden"
